date,employee_title,location,review_title,Review,rating_overall,rating_balance,rating_benefits,rating_job_security,rating_management,rating_culture
" February 22, 2019",Quality Assurance Specialist," Austin, TX ",Kforce was ok,KFORCE was ok to work for. They are in a different situation being a government contractor and they have to abide by the rules of their customer. Most KFORCE employees are happy.,3.0,3,3,3,3,3
" February 20, 2019",Sr. Cyber Threat Analyst," Washington, DC ",Lack of Resources,"Lack of resources for the project. High turnover rate. it is a revolving door, and unrealistic project assignments, where they wanted to build a program, but there is a lack of resources.",1.0,1,1,1,1,1
" February 15, 2019",Technical Writer/Network Designer," Warrenton, VA ",Friendly enrvionment,I have lasting relationships with people that worked there. Hardest part was learning a language that i was not previously familiar with but everyone was patient and willing to help.,5.0,0,0,0,0,0
" February 11, 2019",Directory Operations Services Administrator," Langley AFB, Hampton, VA ",Pleasant work invirornment.,"Give you the ablility to work with all facets of Network perssonal. It's a rare place to work when Infrastructure, Boundary Protection, HBSS, Messaging, etc all work on the same floor and converse on the issues at hand.",5.0,4,3,5,5,5
" February 10, 2019",Senior Instructional Designer," Quantico, VA ",Great Company,"A great company to work for.

Beyond that, I will not submit to the Indeed requirement to publicly discuss my current company. Thus, space filled.....",5.0,5,5,2,5,4
" February 8, 2019",Sr. Principal Consultant, Remote ,Poor Management and No Advancement,"Management was out-of-sight and out-of-mind...only to pop up with bad news. You were seen only as the direct contract job you were staffed to fill and you had to sell yourself again each contract renewal or award, competing with outside staff and inside staff for jobs instead of there being a feeling that you were part of Mantech and appreciated for what you can provide. Was absorbed into Mantech from an acquisition and always felt as though they resented the staff that came over from the acquisition. Why did I stay so long? I worked 100% remote and my pay was fair for my role.",3.0,3,4,1,1,1
" February 7, 2019",Intelligence Training Specialist," Fort Hood, TX 76544 ",Poor Culture with low expectations.,Not the best place to work for but the worst. Management plays favorites. Promotes a lazy and toxic culture. Seems to be proud that they are on the lower end of pay.,3.0,4,3,3,1,1
" February 4, 2019",Cyber Threat Analyst/Action Officer," Fort Meade, MD 20755 ",Excellent work environment,Working at Mantech is fast paced and challenging. Managers care about the employees and ensure their employees are provide with what they need to succeed.,4.0,4,4,4,4,4
" January 31, 2019",Program Security Officer," San Antonio, TX ",Good Company,Enjoyed working a contract on the Local Military Installation. Left due to contract cuts. Manager were good and we had a solid relationship with the government. I would go back if the right opportunity presented itself,4.0,4,3,3,3,4
" January 29, 2019",Engineer Field Tech 1," Fort Huachuca, AZ ",work time,"When you are a Part time on call ( PTOC) you job isn't secured as the test are done and you may or may not be called back to test again
for part time on call you do more than 40 hours and the weather can effect testing",3.0,3,3,2,3,2
